term_a,freq_a,term_b,freq_b,cosine_similarity
备用,1,香味,1,0.10777
压开,1,铲子,2,0.107727
油热,1,铲子,2,0.107501
打入,3,打散,6,0.107364
加盐,2,米饭,30,0.107089
加盐,2,炒好,1,0.106708
压散,1,材料,1,0.106677
油热,1,继续,1,0.106348
加盐,2,结块,1,0.1047
一起,2,加盐,2,0.104593
压散,1,打散,6,0.104287
加盐,2,颜色,1,0.104223
一起,2,搅匀,1,0.103633
普通,1,翻炒,9,0.103433
准备,7,口味,1,0.103398
关火,1,米饭,30,0.103223
炒好,1,结块,1,0.103119
放油,1,普通,1,0.102135
一起,2,放油,1,0.101764
分开,1,颜色,1,0.101263
出锅,3,香味,1,0.101259
味道,1,沾上,1,0.100686
炒出来,1,炒好,1,0.100589
入锅,1,鸡蛋,35,0.100515
均匀,3,饭粒,1,0.100243
一起,2,口味,1,0.100159
调味,4,进去,13,0.100132
分开,1,炒出来,1,0.099985
米饭,30,翻炒,9,0.09997
入锅,1,混合,2,0.099215
倒进,1,压开,1,0.099205
打入,3,沾上,1,0.098969
出锅,3,调味,4,0.098751
均匀,3,炒好,1,0.097926
倒进,1,均匀,3,0.097597
倒进,1,加热,7,0.095737
均匀,3,油热,1,0.095273
压散,1,碗中,1,0.095151
准备,7,炒好,1,0.094456
出锅,3,加热,7,0.094252
沾上,1,调味,4,0.093945
准备,7,进去,13,0.093293
压开,1,炒出来,1,0.092995
口味,1,简单,1,0.092443
加盐,2,普通,1,0.092426
分开,1,口味,1,0.09233
差不多,3,炒出来,1,0.092158
分开,1,沾上,1,0.091601
准备,7,葱花,4,0.090581
备用,1,颜色,1,0.09048
材料,1,鸡蛋,35,0.09039
倒进,1,打散,6,0.090312
开火,1,打散,6,0.090126
差不多,3,锅里,4,0.089915
压开,1,饭粒,1,0.089709
倒进,1,压散,1,0.089179
准备,7,步骤,1,0.088736
翻炒,9,饭粒,1,0.088673
加盐,2,弄散,1,0.08865
分开,1,碗中,1,0.088392
压开,1,打散,6,0.088063
均匀,3,简单,1,0.087729
压散,1,味道,1,0.08762
继续,1,调味,4,0.08706
一起,2,均匀,3,0.086907
均匀,3,鸡蛋,35,0.086699
步骤,1,粘锅,1,0.086644
开火,1,炒熟,2,0.086148
步骤,1,鸡蛋,35,0.086046
沾上,1,进去,13,0.086
均匀,3,放油,1,0.0857
葱花,4,颜色,1,0.084375
口味,1,香味,1,0.084342
出锅,3,炒熟,2,0.084327
压开,1,简单,1,0.084323
步骤,1,进去,13,0.084079
倒进,1,分开,1,0.083937
口味,1,炒好,1,0.082884
入锅,1,炒熟,2,0.082592
一起,2,饭粒,1,0.082432
倒进,1,炒好,1,0.082428
炒熟,2,葱花,4,0.082225
加盐,2,时候,2,0.081942
打散,6,鸡蛋,35,0.081671
均匀,3,备用,1,0.081643
准备,7,炒出来,1,0.081568
油热,1,锅里,4,0.081504
普通,1,饭粒,1,0.081285
翻炒,9,鸡蛋,35,0.080999
差不多,3,炒好,1,0.080475
弄散,1,鸡蛋,35,0.080382
分开,1,材料,1,0.080306
一起,2,锅里,4,0.080297
步骤,1,油热,1,0.07999
开火,1,葱花,4,0.079867
准备,7,粘锅,1,0.079845
打散,6,香味,1,0.079752
压散,1,炒出来,1,0.079627
加热,7,打入,3,0.079449
打散,6,进去,13,0.07943
分开,1,粘锅,1,0.079428
普通,1,混合,2,0.079417
关火,1,结块,1,0.078584
差不多,3,饭粒,1,0.078408
加盐,2,继续,1,0.078273
混合,2,锅里,4,0.078203
口味,1,铲子,2,0.078071
倒进,1,锅里,4,0.077797
简单,1,蛋炒饭,4,0.077394
均匀,3,搅匀,1,0.077325
弄散,1,结块,1,0.076942
蛋炒饭,4,铲子,2,0.076866
备用,1,差不多,3,0.076729
弄散,1,放油,1,0.076618
准备,7,简单,1,0.076367
加盐,2,铲子,2,0.076096
准备,7,香味,1,0.075744
材料,1,炒好,1,0.075612
放油,1,饭粒,1,0.075527
倒进,1,差不多,3,0.075275
放油,1,材料,1,0.074891
一起,2,压散,1,0.074414
粘锅,1,香味,1,0.074304
倒进,1,饭粒,1,0.07357
口味,1,颜色,1,0.07343
压散,1,葱花,4,0.073287
步骤,1,炒好,1,0.072837
打入,3,炒好,1,0.072242
出锅,3,结块,1,0.072149
均匀,3,锅里,4,0.071966
加热,7,打散,6,0.071875
差不多,3,继续,1,0.071659
倒进,1,翻炒,9,0.071452
打入,3,翻炒,9,0.071304
准备,7,分开,1,0.07111
加盐,2,混合,2,0.070823
分开,1,饭粒,1,0.070734
打入,3,结块,1,0.069533
均匀,3,进去,13,0.069396
准备,7,打入,3,0.068906
步骤,1,香味,1,0.068828
油热,1,进去,13,0.068804
米饭,30,继续,1,0.067748
差不多,3,炒熟,2,0.067682
开火,1,普通,1,0.067119
味道,1,混合,2,0.066391
炒熟,2,蛋炒饭,4,0.066182
翻炒,9,锅里,4,0.065399
均匀,3,香味,1,0.065285
步骤,1,颜色,1,0.065056
油热,1,调味,4,0.064766
打散,6,锅里,4,0.064586
打散,6,颜色,1,0.063697
打入,3,时候,2,0.063643
放油,1,颜色,1,0.063586
粘锅,1,葱花,4,0.063441
倒进,1,准备,7,0.063314
打入,3,调味,4,0.062969
材料,1,葱花,4,0.062961
一起,2,时候,2,0.062435
炒熟,2,饭粒,1,0.06242
继续,1,饭粒,1,0.062223
均匀,3,差不多,3,0.0622
分开,1,压散,1,0.062139
颜色,1,香味,1,0.061748
混合,2,结块,1,0.061285
简单,1,饭粒,1,0.060766
加盐,2,简单,1,0.060053
油热,1,沾上,1,0.059575
一起,2,米饭,30,0.059425
差不多,3,香味,1,0.058663
一起,2,混合,2,0.058514
锅里,4,香味,1,0.058303
简单,1,调味,4,0.058127
关火,1,搅匀,1,0.058007
味道,1,炒好,1,0.057872
口味,1,放油,1,0.057777
分开,1,调味,4,0.057497
弄散,1,调味,4,0.057384
放油,1,米饭,30,0.05733
一起,2,分开,1,0.057215
材料,1,进去,13,0.05698
入锅,1,差不多,3,0.056845
差不多,3,米饭,30,0.056814
备用,1,鸡蛋,35,0.056658
材料,1,混合,2,0.056375
压散,1,炒熟,2,0.056113
关火,1,压散,1,0.055835
入锅,1,结块,1,0.055767
倒进,1,简单,1,0.055671
打散,6,步骤,1,0.055591
普通,1,进去,13,0.055243
步骤,1,混合,2,0.055012
加盐,2,翻炒,9,0.054431
口味,1,继续,1,0.053848
